調査カード整理番号,カード種別,所蔵者名,整理番号,作品名,編著者名,写刊,写刊年次,巻数・数量,残存,寸法,書型,匡郭・界罫等,表紙,装訂／料紙,保存状況,箱・帙・袋・包紙,蔵書印等,序・跋・刊記・奥書等,絵：記述,書入：記述,補記：記述,書影タイトル,書誌構成,画像1,画像2,画像3,画像4,画像5,画像6,画像7,画像8,画像9,画像10,画像11,画像12,画像13,画像14,画像15,画像16,画像17,画像18,画像19,画像20,画像21,画像22,画像23,画像24,画像25,画像26,画像27,画像28,画像29,画像30,画像31,画像32,画像33,画像34,画像35,画像36,画像37,画像38,画像39,画像40,画像41,画像42,画像43,画像44,画像45,画像46,画像47,画像48,画像49,画像50,画像51,画像52,画像53,画像54,画像55,画像56
"804002-00001","DC","宮内庁書陵部","1-1　1-3　3-1~3　1-1","【認定書名】宇郡古文解<BR>【外題】正斉書籍考　首巻（一〜二）<BR>【内題】正斉書籍考巻一（〜二）","","刊・整版","文政６年刊","3巻3冊","全","縦18.4p×横12.5p","","","原／菜の花色無地","袋綴","","","明道館図書記・出〓","【序】文政癸未春正月泉州横塘有則書於浪華伏水坊東寓居","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/804002/804002-0000101.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/804002/804002-0000102.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"398999-02235-21","旧Ｃ","東洋文庫","1-1　1-3　3-1~3　1-1","【外題】記料并附録目録<BR>【叢書名】双六集<BR>【所収作品名】俳諧双六","藤垣爐扇・北海巣亀丸","刊・整版","","1巻1冊<BR>全35冊のうち第21冊","全","縦36.6p×横52.4p","","","原","一枚ずつ裏打ち／楮","","","図書寮・越国文庫・出〓","【その他書誌】裏に「東洋文庫」朱印【その他】色刷","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/398999/398999-0223500.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"804002-00010","B","福井市立図書館","1401　2-1　3-3　4-1(~4)　1-16","【認定書名】世事百談<BR>【外題】世事百談<BR>【内題】世事百談<BR>一−三十　一−三十［柱題］","山崎美成","刊・版種記載ナシ","","2巻2冊","欠／欠（三・四）","縦25.5p×横17.7p","","","原／茶縞","","","","明道館","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/804002/804002-0001000.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"804002-00011","B","福井市立図書館","124　2-1　3-3　4-1(~4)　1-16","【認定書名】世事百談<BR>【外題】世事百談<BR>【内題】世事百談","山崎久作","刊・整版","","4巻42冊","存／三・四の端本","縦25.8p×横17.8p","","","原／薄茶地に茶の横縞","","","","明道館図書記・出〓","天保十二年辛丑の歳秋分の日山崎美成しるす。","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/804002/804002-0001100.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"804002-00013","B","福井市立図書館","2271　2-1　3-5　1-1　1-18","【認定書名】良斎間話<BR>【外題】良斎間話上（下）<BR>【内題】良斎間話［柱題］","東奥安積信","刊・整版","","2巻2冊","存／下巻のみの零本","縦26.7p×横17.6p","","","原／青表紙　花菱模様","","","","出〓　越国文庫　図書寮","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/804002/804002-0001300.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"804002-00014","S","福井市立図書館","2-1　3-6　1-1　1-19","【外題】閑聖漫録　全<BR>【内題】閑聖漫録<BR>閑聖漫［柱題］","","刊・整版","文久３年","1巻1冊","全","縦25.7p×横17.6p","","","原／千歳緑　雲文（つや出し）","袋綴","","","明道館図書記・出〓","【序】元治甲子春日／青山延光撰<BR>【跋】文久三年癸亥冬日／門人石河幹修拝識","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/804002/804002-0001400.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101999-02175-E","C","盛岡市中央公民館","","【認定書名】柏玉和歌集","後柏原天皇","刊・版種記載ナシ","寛文９年","10冊","","","","","","袋綴","","","","【刊行者】下御霊前  谷岡七左衛門","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/101999/101999-0217500.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00001","S","尊経閣文庫","P341　1","【整理書名】竹取翁物語<BR>【外題】竹取翁物語","","写本","江戸前期","1巻1冊","全","縦24p×横17.3p","","","原／鳶色　二重花襷に花菱の雲母刷り","補記参照／楮","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000101.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000102.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00002","S","尊経閣文庫","P341　2","【整理書名】伊勢物語<BR>【外題】伊勢物語","","写本","室町末期","1巻1冊","全","縦25.5p×横20.5p","","","後／藍色無地","袋綴／楮","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000201.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000202.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00003","S","尊経閣文庫","(341　3)","【整理書名】伊勢物語","","写本","天文４年以前（極めより）","1巻1冊","全","縦24.4p×横16.6p","","","原／菊花菱繋ぎ　緞子表紙","列帖／交漉","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000301.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000302.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
